dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
1,LeftRight,-1.5745,-5.7093,11.2319,-59.036,114.6397,-1957.7997
1,LeftRight,-1.6941,-5.3456,10.9256,-68.6466,-124.9367,-2051.1589
1,LeftRight,-1.2778,-4.5081,9.5617,-264.9757,-303.4178,-2457.5466
1,LeftRight,-1.718,0.0622,11.2941,-917.8044,-415.9981,-2686.1396
1,LeftRight,-1.2203,2.9145,8.7338,-215.5502,-702.2542,-2715.6577
1,LeftRight,-0.9045,5.3839,4.0678,-87.8676,-334.9952,-2828.9243
1,LeftRight,-0.4738,6.2788,3.6658,747.561,-121.5044,-2681.3345
1,LeftRight,-0.3446,8.7434,7.2598,121.5044,409.8199,-2545.4141
1,LeftRight,-0.4738,10.9687,10.8538,-188.0916,402.9553,-2327.1182
1,LeftRight,0.3494,13.2658,11.7583,-16.4752,-35.0097,-1784.8103
1,LeftRight,0.4307,12.8064,10.1982,28.8316,-534.7566,-1331.0566
1,LeftRight,1.1342,10.4853,9.0018,153.0818,-884.8541,-1151.2026
1,LeftRight,2.3258,11.6913,6.542,658.3204,-1290.5552,-986.4509
1,LeftRight,2.9097,13.194,1.1007,442.7703,-529.2649,-68.6466
1,LeftRight,2.7182,7.1019,4.2018,-169.557,411.8793,352.8433
1,LeftRight,2.5364,3.0102,8.7099,-221.0419,661.0663,85.8082
1,LeftRight,2.7517,3.4552,11.1984,-201.8209,475.7206,-155.1412
1,LeftRight,3.192,5.1494,11.3133,0,85.1217,-43.9338
1,LeftRight,3.6179,5.2164,9.6,100.224,-90.6134,157.8871
1,LeftRight,3.7519,3.8333,8.9252,34.3233,6.1782,239.5765
1,LeftRight,3.6706,2.1009,9.4277,-6.1782,6.8647,171.6164
1,LeftRight,3.594,1.7468,9.466,-21.2804,-98.1646,6.8647
2,LeftRight,-5.5322,-5.0297,8.3414,70.0195,-1079.1238,-3262.0842
2,LeftRight,-6.0012,-2.2684,7.7671,111.2074,-949.3818,-3492.7366
2,LeftRight,-5.7763,3.2495,7.9777,118.0721,-894.4645,-3206.4805
2,LeftRight,-5.3934,1.1486,5.1015,318.52,-677.5414,-3038.2964
2,LeftRight,-5.4126,1.5027,5.2594,554.6641,-420.8033,-3082.9165
2,LeftRight,-6.073,5.135,6.719,546.4266,-385.7936,-3056.8308
2,LeftRight,-7.2168,8.461,6.518,418.744,-374.8102,-2895.5117
2,LeftRight,-7.413,13.4812,7.346,251.9328,-394.7177,-2478.8269
2,LeftRight,-7.3938,17.7978,5.6806,245.7547,-308.223,-1694.1968
2,LeftRight,-7.322,15.0939,6.0538,256.0516,-222.4148,-1263.0966
2,LeftRight,-6.3506,17.324,6.92,304.7907,-123.5638,-853.9631
2,LeftRight,-5.1589,17.1613,6.7669,172.9893,-182.5998,-445.5161
2,LeftRight,-4.532,15.8979,6.1352,44.6203,-38.4421,-4.1188
2,LeftRight,-4.0726,15.4385,5.4461,-59.7225,71.3924,356.9621
2,LeftRight,-3.6897,14.6154,6.1161,-204.5667,108.4616,685.7791
2,LeftRight,-3.7663,13.596,6.3314,-186.0322,197.0156,1018.0283
2,LeftRight,-3.6945,12.5432,6.3553,-155.8277,306.1636,1326.9379
2,LeftRight,-3.5557,12.6197,5.872,-153.7683,360.3944,1581.6166
2,LeftRight,-4.6564,13.1605,6.719,-205.2532,368.632,1909.0605
2,LeftRight,-5.8146,13.7157,6.4128,-299.9854,415.3116,2312.7024
2,LeftRight,-5.3934,11.7535,5.3121,-178.481,624.6836,2691.6313
2,LeftRight,-6.1687,8.4993,6.3075,-37.0691,755.1121,2947.6829
2,LeftRight,-6.4128,3.9912,7.4034,-120.8179,767.4684,2846.0859
2,LeftRight,-6.5372,3.5174,6.7382,-100.224,794.2406,2594.1531
2,LeftRight,-6.2213,6.9775,6.2405,72.7653,947.3224,2653.189
